O morro dos ventos uivantes;O Morro dos Ventos Uivantes;Único romance da escritora inglesa Emily Bronte, O morro dos ventos uivantes retrata uma trágica história de amor e obsessão em que os personagens principais são a obstinada e geniosa Catherine Earnshaw e seu irmão adotivo, Heathcliff. Grosseiro, humilhado e rejeitado, ele guarda apenas rancor no coração, mas tem com Catherine um relaciona- mento marcado por amor e, ao mesmo tempo, ódio. Essa ligação perdura mesmo com o casamento de Catherine com Edgar Linton.

Drama / Ficção / Literatura Estrangeira / Romance
O visconde que me amava;O Visconde Que Me Amava (Os Bridgertons #2);A temporada de bailes e festas de 1814 acaba de começar em Londres. Como de costume, as mães ambiciosas já estão ávidas por encontrar um marido adequado para suas filhas. Ao que tudo indica, o solteiro mais cobiçado do ano será
Anthony Bridgerton, um visconde charmoso, elegante e muito rico que, contrariando as probabilidades, resolve dar um basta na rotina de libertino e arranjar uma noiva.

Logo ele decide que Edwina Sheffield, a debutante mais linda da estação, é a candidata ideal. Mas, para levá-la ao altar, primeiro terá que convencer Kate, a irmã mais velha da jovem, de que merece se casar com ela.

Não será uma tarefa fácil, porque Kate não acredita que ex-libertinos possam se transformar em bons maridos e não deixará Edwina cair nas garras dele.

Enquanto faz de tudo para afastá-lo da irmã, Kate descobre que o visconde devasso é também um homem honesto e gentil. Ao mesmo tempo, Anthony começa a sonhar com ela, apesar de achá-la a criatura mais intrometida e irritante que já pisou nos salões de Londres. Aos poucos, os dois percebem que essa centelha de desejo pode ser mais do que uma simples atração.

Considerada a Jane Austen contemporânea, Julia Quinn mantém, neste segundo livro da série Os Bridgertons, o senso de humor e a capacidade de despertar emoções que lhe permitem construir personagens carismáticos e histórias inesquecíveis.
Para Todos os Garotos que Já Amei;Para Todos os Garotos que Já Amei #1;Lara Jean guarda suas cartas de amor em uma caixa azul-petróleo que ganhou da mãe. Não são cartas que ela recebeu de alguém, mas que ela mesma escreveu. Uma para cada garoto que amou — cinco ao todo. São cartas sinceras, sem joguinhos nem fingimentos, repletas de coisas que Lara Jean não diria a ninguém, confissões de seus sentimentos mais profundos.
